m,0,1,2,3,4,5,6,7,8,9
,920.16,1092.16,1070.04,791.44,888.92,1025.2,896.28,1042.04,1105.12,922.12
,-0.269038,-0.259259,-0.198696,-0.311506,0.057631,-0.190013,-0.089229,0.06103,-0.251273,0.062383
,54.920947,54.871357,54.915432,54.975607,54.922702,54.9216,54.835554,54.679212,54.811704,54.913228
,921.32,1093.4,1071.24,791.64,890.92,1026.6,897.48,1043.12,1105.88,923.24
,-0.082464,-0.198966,-0.218432,-0.453576,0.113209,-0.072504,0.208859,0.086642,-0.08941,0.095153
,55.584379,55.539163,55.58473,55.527989,55.588705,55.587648,55.492812,55.351056,55.491194,55.58073
,922.32,1094.44,1072.6,791.72,892.64,1027.92,898.4,1043.96,1106.44,924.16
,-0.136168,-0.295393,0.027501,-0.660003,0.062757,-0.014808,0.070604,-0.019608,-0.228395,0.004542
,56.252103,56.210402,56.253689,56.021688,56.256965,56.250655,56.156277,56.032848,56.173689,56.250311
,923.16,1095.4,1073.64,791.8,894.4,1029.08,899.12,1044.68,1107.04,924.88
,-0.200767,-0.279279,-0.093382,-0.443641,0.222005,-0.022911,-0.008243,-0.045073,-0.027389,-0.110004
,56.922831,56.884806,56.917032,56.703743,56.92441,56.921698,56.813945,56.718282,56.858707,56.9211
,924.04,1096.24,1074.6,791.84,896.2,1029.96,899.68,1045.12,1107.4,925.4
,-0.003912,-0.292929,0.02636,-0.660003,0.409633,-0.13522,-0.055076,-0.324291,-0.291383,-0.259411
,57.59616,57.562032,57.58425,57.38454,57.589822,57.594297,57.500545,57.40729,57.538394,57.59694
,924.6,1096.84,1075.44,791.88,897.72,1030.72,900.12,1045.44,1107.72,926.04
,-0.331551,-0.382716,0.08176,-0.562861,0.346983,-0.170161,-0.071949,-0.416433,-0.233188,0.048218
,58.271524,58.237878,58.261,58.071712,58.254819,58.267299,58.1909,58.09986,58.216506,58.265776
,924.96,1097.28,1076,791.92,898.8,1031.6,900.48,1045.6,1108.08,926.48
,-0.507616,-0.520697,-0.164957,-0.490004,0.102077,0.127974,-0.065459,-0.640882,0.102293,-0.1764
,58.94806,58.91547,58.928397,58.762182,58.917193,58.935029,58.88429,58.79288,58.88734,58.933987
,925.36,1097.88,1076.48,791.96,899.96,1032.4,900.68,1045.8,1108.36,927.04
,-0.3595,-0.242424,-0.122627,-0.388005,0.395089,0.209482,-0.325054,-0.444222,0.187085,0.222921
,59.624293,59.593753,59.609246,59.455837,59.5919,59.616983,59.572658,59.484944,59.531216,59.599049
,925.68,1098.32,1076.8,791.96,900.88,1033.04,900.84,1045.92,1108.52,927.36
,-0.382106,-0.339339,-0.302601,-1,0.318324,0.143511,-0.280058,-0.588071,0.102293,-0.161426
,60.301436,60.28159,60.289864,60.152569,60.263639,60.2998,60.257584,60.179784,60.141489,60.274172
,926,1098.88,1076.96,792,901.56,1033.6,900.92,1045.96,1108.68,927.64
,-0.275572,0.003584,-0.568277,0.019992,0.205195,0.320755,-0.460043,-0.820441,0.763668,-0.16619
,60.977857,60.971924,60.96151,60.852275,60.936076,60.976626,60.904231,60.876869,60.83584,60.950226
,926.12,1099.24,1077.04,792,902.08,1033.96,900.96,1046,1108.84,927.88
,-0.671744,-0.2,-0.748162,-1,0.129727,0.061321,-0.550036,-0.740637,1.204586,-0.172459
,61.668263,61.653586,61.643979,61.554854,61.617098,61.668268,61.56567,61.581886,61.533187,61.625793
,926.32,1099.56,1077.16,792,902.4,1034.28,901,1046,1108.96,928.08
,-0.343487,-0.191919,-0.575023,-1,-0.137931,0.048218,-0.100072,-1,1.204586,-0.18108
,62.361701,62.337695,62.329656,   -nan,62.310436,62.362844,62.241465,62.300325,62.233431,62.31137
,926.48,1099.72,1077.24,792,902.6,1034.56,901,1046,1109,928.2
